DATE,NYGDPPCAPKDITA
1960-01-01,10867.7036593658
1961-01-01,11681.3054735024
1962-01-01,12322.3145145879
1963-01-01,12918.9674512779
1964-01-01,13171.6020855406
1965-01-01,13487.9900459147
1966-01-01,14184.5318751764
1967-01-01,15093.1472567058
1968-01-01,15979.6575383342
1969-01-01,16858.4075907419
1970-01-01,17653.0152595722
1971-01-01,17890.3212930414
1972-01-01,18445.545571081
1973-01-01,19626.3936040595
1974-01-01,20570.8183835409
1975-01-01,20020.9225719472
1976-01-01,21340.7658036233
1977-01-01,21794.4336629366
1978-01-01,22420.5738807156
1979-01-01,23688.0591465442
1980-01-01,24450.1443050625
1981-01-01,24626.9756754019
1982-01-01,24710.5165239465
1983-01-01,24990.3609392227
1984-01-01,25790.7479813438
1985-01-01,26504.734260523
1986-01-01,27261.2766251823
1987-01-01,28128.5751368512
1988-01-01,29294.2351298169
1989-01-01,30264.1268256979
1990-01-01,30839.278333373
1991-01-01,31292.0530946068
1992-01-01,31531.6900203869
1993-01-01,31243.6790226551
1994-01-01,31909.2367105491
1995-01-01,32829.8827518868
1996-01-01,33242.8522991256
1997-01-01,33835.0731328908
1998-01-01,34371.9820181408
1999-01-01,34902.2621269685
2000-01-01,36180.7783332899
2001-01-01,36801.2938105496
2002-01-01,36837.8639859992
2003-01-01,36729.9755411316
2004-01-01,37070.3305155452
2005-01-01,37238.9365291342
2006-01-01,37872.1683558927
2007-01-01,38236.7956108395
2008-01-01,37585.3373525671
2009-01-01,35363.4004619474
2010-01-01,35849.3731979401
2011-01-01,35994.1335816766
2012-01-01,34885.2968955209
2013-01-01,33887.2981674565
2014-01-01,33615.9717818679
2015-01-01,33968.7039603496
2016-01-01,34318.4968180439
